Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,postal_code,Business_Count
Comstock Park,49321,66000,48.6,47.1,51.8,49321,2
Lowell,49331,58162,37.3,36.8,37.5,49331,3
Newaygo,49337,31123,54.5,47.7,59.3,49337,1
Remus,49340,43926,26.2,24.9,28.9,49340,2
Rockford,49341,38542,54.4,54.2,54.8,49341,2
Shelbyville,49344,92533,40.2,40.1,40.4,49344,1
Sparta,49345,95423,39.7,38.4,41,49345,2
White Cloud,49349,60487,39,36.6,40.1,49349,2
Allendale,49401,51250,46.1,46.3,44.8,49401,4
Coopersville,49404,65580,40.2,40.3,39.8,49404,2
Douglas,49406,76528,41.5,42.7,41.3,49406,1
Fennville,49408,62857,37,36.2,37.9,49408,1
Fremont,49412,54439,53.2,50.5,54.7,49412,2
Grand Haven,49417,63185.28,18.1,43.7,15.7,49417,5
Grandville,49418,48043,45,44.6,45.5,49418,9
Hamilton,49419,54500,45.4,42.1,48.6,49419,2
Hart,49420,51458,43.5,45.3,42,49420,1
Holland,49423,51125,45.8,44.7,47.1,49423,7
Holland,49424,101037,39.3,38.1,40.5,49424,6
Holton,49425,47434,44,45.3,43.9,49425,1
Hudsonville,49426,72350,44.4,47.4,38.9,49426,5
Jenison,49428,77054,47.1,47.4,45.9,49428,3
Ludington,49431,77599,38.5,37.2,39.9,49431,3
Marne,49435,69821,42.6,47.1,39.8,49435,1
Montague,49437,47527,45.4,43.9,45.7,49437,1
Muskegon,49441,43850,54.2,55.1,53.5,49441,2
Muskegon,49442,77500,39.4,40.6,39,49442,3
Muskegon Heights,49444,75912,35.1,30.7,36.9,49444,10
North Muskegon,49445,54671,40.3,40.6,39.8,49445,2
Shelby,49455,74637,38.1,36.1,40.7,49455,2
Spring Lake,49456,85261,37.5,36.7,37.9,49456,2
Whitehall,49461,58625,41.1,42.2,37.9,49461,1
Zeeland,49464,96004,33.8,33.4,34.2,49464,3
Grand Rapids,49503,78457,38.2,35.8,39.6,49503,3
Walker,49504,63185.28,62.3,43.7,45.2,49504,4
Grand Rapids,49505,56193,48.3,45.8,50.4,49505,1
Grand Rapids,49506,63185.28,44.5,43.7,45.2,49506,1
Grand Rapids,49507,84875,34.7,34.6,35,49507,3
Kentwood,49508,58694,56.3,56.4,56.3,49508,5
Wyoming,49509,67321,43.5,43.5,43.5,49509,1
Kentwood,49512,23820,60.7,61.4,60.4,49512,5
Zcta 49525,49525,58536,40.2,38.5,41.5,49525,5
Zcta 49544,49544,43943,35.9,35.5,36.5,49544,1
Grand Rapids,49546,63185.28,62.4,38.3,82,49546,3
Kentwood,49548,46296,35.6,34.2,36.7,49548,4
Cadillac,49601,78003,45.1,45.1,44.9,49601,4
Bear Lake,49614,40596,29.5,35.1,28.7,49614,1
Benzonia,49616,57216,39,39.4,38,49616,3
Chase,49623,51591,36.6,35.7,38.4,49623,1
Copemish,49625,85378,38.1,37.7,38.5,49625,1
Evart,49631,96348,33.7,32,35.3,49631,1
Fife Lake,49633,61324,34.5,32.9,37,49633,1
Honor,49640,84304,38.9,36.8,40.9,49640,1
Kalkaska,49646,60781,64,59.6,68.7,49646,2
Moorestown,49651,72944,52.3,48.4,55.5,49651,4
Lake Leelanau,49653,44485,49.2,52.5,40.8,49653,1
Stronach,49660,44250,50.6,50.5,51,49660,4
Manton,49663,48309,64,64.3,60.9,49663,1
Marion,49665,76750,32.9,32.7,53.5,49665,1
Reed City,49677,63000,59.6,59.3,60.4,49677,1
Traverse City,49684,68750,57.9,55.9,58.8,49684,4
Zcta 49686,49686,22829,53.9,59.6,46.3,49686,8
Williamsburg,49690,47411,49.9,47.4,53.3,49690,2
Alpena,49707,84467,38.8,39.1,38.5,49707,5
Boyne City,49712,77000,60.7,60.5,63.6,49712,1
Boyne Falls,49713,54694,39.1,38.5,40,49713,1
Cedarville,49719,55882,48.9,46.6,51.9,49719,1
Charlevoix,49720,48373,36.4,34.8,37.1,49720,3
Cheboygan,49721,66600,53.1,52.4,53.7,49721,3
East Jordan,49727,78365,73.6,60.6,74,49727,1
Gaylord,49735,51989,35.6,35.4,37.5,49735,5
Grayling,49738,44570,48.6,49.1,48.4,49738,3
Harbor Point,49740,65667,45.9,43.2,49.2,49740,1
Johannesburg,49751,65921,42.5,40.4,44.7,49751,1
Lewiston,49756,57750,53.6,53.5,53.7,49756,1
Bay View,49770,56838,42.5,46,35.2,49770,5
Rogers City,49779,68088,49.3,47.1,49.8,49779,1
Sault Sainte Mar,49783,39792,61.9,61.3,62.1,49783,3
Iron Mountain,49801,28750,64,64.5,63.8,49801,2
Iron Mountain,49802,58939,57.2,53.1,59.9,49802,1
Carney,49812,45375,56.7,56.9,56.6,49812,1
Escanaba,49829,51750,51.1,50.6,51.7,49829,3
Brampton,49837,52548,37.6,34.8,42,49837,1
Princeton,49841,60500,65.3,65.6,64.8,49841,2
North Lake,49849,41505,47.5,49.3,46.5,49849,3
Thompson,49854,44219,48,46.8,48.9,49854,2
Beaver Grove,49855,69545,57.6,52.8,60.7,49855,7
Menominee,49858,62222,46.2,45.3,47.8,49858,1
Christmas,49862,50568,50.7,51.1,50.6,49862,1
Norway,49870,51429,47.9,48.2,46.3,49870,1
Republic,49879,76667,46.7,48.5,42.9,49879,1
Bessemer,49911,36786,44.9,41.5,59.1,49911,1
Laurium,49913,65436,39.5,39.1,39.8,49913,1
Crystal Falls,49920,56563,57.2,54.3,61.1,49920,1
Hancock,49930,65208,36.6,51.1,35.9,49930,3
Houghton,49931,40938,55.8,46.4,61.6,49931,2
Iron River,49935,66827,46.5,44.7,46.7,49935,2
Ironwood,49938,58571,46.2,44,46.2,49938,2
Lanse,49946,65809,52.4,53.3,48.8,49946,1
Ontonagon,49953,49250,53.8,53.8,53.8,49953,1
