Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,Has_Thrift_Store,List_of_Stores
Carland,48831,54236.00,40.2,40.1,41.1,,
Elwell,48832,71893.00,41.6,41.1,42,,
Fenwick,48834,73864.00,39.5,36.2,40.8,,
Fowler,48835,41330.00,57.9,60.4,57.5,,
Fowlerville,48836,53273.00,43.1,37.9,47.8,,
Grand Ledge,48837,49955.00,41.3,36.4,48.3,,
Greenville,48838,80443.00,41.4,42.3,40.1,,
Haslett,48840,90091.00,42.7,42.6,42.8,,
Henderson,48841,92371.00,46.8,46.3,47.9,,
Holt,48842,82019.00,42.9,42.1,44.2,,
Howell,48843,47128.00,24.3,24,24.8,,
Hubbardston,48845,63185.28,19.1,19.1,19,,
Ionia,48846,63185.28,19.4,19.5,19.3,,
Ithaca,48847,70812.00,41.5,42.3,40.2,,
Laingsburg,48848,47287.00,39,41.1,37.6,,
Lake Odessa,48849,54467.00,44.6,42.8,48.1,,
Lakeview,48850,60764.00,40.3,39.5,40.7,,
Lyons,48851,56944.00,39.5,39.8,39.1,,
Mcbrides,48852,75662.00,40,36.6,42.9,,
Maple Rapids,48853,75188.00,39.2,36.7,40.6,,
Mason,48854,85527.00,42.5,41.6,44.8,,
Middleton,48856,54391.00,39,38.8,39.3,,
Morrice,48857,70035.00,43.4,43.4,43.9,,
Mount Pleasant,48858,63750.00,50.3,48.7,53.2,,
Muir,48860,71640.00,39.5,39.7,39.3,,
Mulliken,48861,83354.00,40.8,39.3,42.1,,
Okemos,48864,53707.00,41,40.2,42.4,,
Orleans,48865,58612.00,39.7,38.9,42.3,,
Ovid,48866,57250.00,39.4,38.6,40.6,,
Owosso,48867,82161.00,40.9,40.8,41.1,,
Perrinton,48871,70451.00,38.2,33.9,43.3,,
Perry,48872,51667.00,41.3,38.1,43.2,,
Pewamo,48873,57231.00,45.6,40.8,50.5,,
Pompeii,48874,43333.00,50.5,49.4,56.1,,
Portland,48875,41833.00,36.6,36.6,36.6,,
Potterville,48876,79992.00,40.1,38.8,41.2,,
Riverdale,48877,87137.00,39.6,38.8,40.3,,
Rosebush,48878,55750.00,44,33.8,51.1,,
Saint Johns,48879,72596.00,43.2,41.3,44.4,,
Saint Louis,48880,44194.00,26.3,27.4,25.3,,
Saranac,48881,63185.28,19.4,19.4,19.4,,
